Institution, Abreviation
Massachusetts+Institute+of+Technology,MIT
Harvey+Mudd+College,HMC
University+of+California-Berkeley,UCB
University+of+Michigan-Ann+Arbor,UMA
Worcester+Polytechnic+Institute,WPI
Harvard+University,HAV
Georgia+Institute+of+Technology-Main+Campus,GAT
University+of+Illinois+at+Urbana-Champaign,UIUC
California+Institute+of+Technology,CALT
California+Polytechnic+State+University-San+Luis+Obispo,CAP
University+of+Colorado+Boulder,UCBO
Colorado+School+of+Mines,CSM
Pennsylvania+State+University-Main+Campus,PEN
Purdue+University-Main+Campus,PUR
University+of+California-Los+Angeles,UCLA
George+Washington+University,GWU
University+of+California-San+Diego,UCSD
Rose-Hulman+Institute+of+Technology,RHIT
Rensselaer+Polytechnic+Institute,RPI
Boston+University,BU
Brigham+Young+University-Provo,BYU
Brown+University,BRO
University+of+Chicago,UC
Carnegie+Mellon+University,CMU
Case+Western+Reserve+University,CWRU
Clemson+University,CLU
Cornell+University,CRLU
Cooper+Union+for+the+Advancement+of+Science+and+Art,COU
Dartmouth+College,DMC
Drexel+University,DRXU
Gonzaga+University,GONZ
Hofstra+University,HOFU
Indiana+State+University,ISU
Kent+State+University+at+Kent,KSU
Maine+Maritime+Academy,MMA
Marquette+University,MQU
Michigan+State+University,MSU
Northeastern+University,NEU
Princeton+University,PRU
Rice+University,RU
